es	de	lektion
para empezar	um zu beginnen	Para empezar
¿Cómo te llamas?	Wie heißt du?	Para empezar
¿Cómo?	Wie?	Para empezar
Buenos días.	Guten Morgen. Guten Tag.	Para empezar
el día	Tag	Para empezar
me llamo	ich heiße	Para empezar
soy	ich bin	Para empezar
el/la profesor/a de español	Spanischlehrer/in	Para empezar
el español	Spanisch	Para empezar
Hola.	Hallo.	Para empezar
Buenas tardes.	Guten Tag. Guten Abend.	Para empezar
la tarde	Nachmittag	Para empezar
y	und	Para empezar
usted	Sie (Singular)	Para empezar
¿Cómo está?	Wie geht es Ihnen?	Para empezar
bien	gut	Para empezar
gracias	danke	Para empezar
¿Qué tal?	Wie geht's?	Para empezar
tú	du	Para empezar
Buenas noches.	Guten Abend. Gute Nacht.	Para empezar
la noche	Nacht	Para empezar
¿Cómo se llama usted?	Wie heißen Sie?	Para empezar
regular	mittelmäßig; hier: es geht so	Para empezar
la carrera universitaria	Universitätslaufbahn, Studium	Para empezar
las ciencias de la salud	Gesundheitswissenschaft	Para empezar
la ciencia	Wissenschaft	Para empezar
la farmacia	Pharmazie	Para empezar
la medicina	Medizin	Para empezar
la veterinaria	Tiermedizin	Para empezar
la enfermería	Krankenpflege	Para empezar
la odontología	Zahnmedizin	Para empezar
la logopedia	Logopädie	Para empezar
las ciencias sociales	Sozialwissenschaften	Para empezar
las ciencias jurídicas	Rechtswissenschaften	Para empezar
el derecho	Recht, Jura	Para empezar
la economía	Wirtschaft	Para empezar
las finanzas	Finanzen, Finanzwesen	Para empezar
el trabajo social	Sozialarbeit	Para empezar
social	sozial, gesellschaftlich	Para empezar
las ciencias políticas	Politikwissenschaften	Para empezar
las relaciones laborales	Unternehmensorganisation, Personalwesen	Para empezar
la relación	Bezug, Beziehung; Kontakt	Para empezar
el arte	Kunst	Para empezar
las humanidades	Geisteswissenschaften	Para empezar
las bellas artes	Schöne Künste	Para empezar
la historia	Geschichte	Para empezar
el periodismo	Journalismus, Publizistik	Para empezar
la filología	Philologie, Sprachwissenschaft	Para empezar
portugués/-esa	portugiesisch	Para empezar
la geografía	Geographie	Para empezar
las lenguas modernas	moderne Sprachen	Para empezar
la lengua	Sprache	Para empezar
la arquitectura	Architektur	Para empezar
e	und (vor i-, hi-)	Para empezar
la ingeniería	Ingenieurwesen, Maschinenbau	Para empezar
la ingeniería industrial	Wirtschaftsingenieurwesen, Industrietechnik	Para empezar
la ingeniería civil	Bauingenieurwesen	Para empezar
el diseño industrial	Industriedesign	Para empezar
la ingeniería informática	Informatik	Para empezar
la gestión de proyectos	Projektmanagement	Para empezar
la planificación de paisaje	Landschaftsplanung	Para empezar
las ciencias	Naturwissenschaften	Para empezar
la física	Physik	Para empezar
la química	Chemie	Para empezar
las matemáticas	Mathematik	Para empezar
la biología	Biologie	Para empezar
la biotecnología	Biotechnologie	Para empezar
¿Qué significa…?	Was bedeutet …?	Para empezar
significar	bedeuten	Para empezar
¿Cómo se pronuncia…?	Wie spricht man … aus?	Para empezar
las frases útiles	nützliche Sätze	Para empezar
el mundo hispanohablante	die spanischsprachige Welt	Para empezar
la ciudad	Stadt	Para empezar
la persona	Person	Para empezar
la gastronomía	Gastronomie	Para empezar
la música	Musik	Para empezar
el monumento	Monument	Para empezar
la naturaleza	Natur	Para empezar
¿Cómo se escribe?	Wie schreibt man das?	Para empezar
tu	dein/e	Para empezar
el nombre	(Vor)Name	Para empezar
el apellido	Nachname	Para empezar
con	mit	Para empezar
o	oder	Para empezar
sin	ohne	Para empezar
el acento	Akzent	Para empezar
la diéresis	Umlaut	Para empezar
la m mayúscula	großes M	Para empezar
la m minúscula	kleines M	Para empezar
en	in, an, auf	Unidad 1
la universidad	Universität	Unidad 1
¿Qué es la universidad?	Was ist die Universität?	Unidad 1
¿Qué?	Was?	Unidad 1
es	ist	Unidad 1
el laboratorio	Labor	Unidad 1
la excursión	Ausflug, Exkursion	Unidad 1
la cultura	Kultur	Unidad 1
el horario	Stundenplan	Unidad 1
el título	Titel, Studienabschluss	Unidad 1
el deporte	Sport	Unidad 1
la fiesta	Fest, Feier	Unidad 1
la asociación	Verbindung, Verein, Verband	Unidad 1
la biblioteca	Bibliothek	Unidad 1
el examen	Prüfung	Unidad 1
el/la amigo/-a	Freund/in	Unidad 1
la investigación	Untersuchung, Forschung	Unidad 1
para mí	für mich	Unidad 1
somos	wir sind	Unidad 1
España	Spanien	Unidad 1
nacional	national	Unidad 1
de	von, aus	Unidad 1
Colombia	Kolumbien	Unidad 1
la sede	Sitz	Unidad 1
el país	Land	Unidad 1
el programa	Programm	Unidad 1
el pregrado	Grundstudium	Unidad 1
el doctorado	Doktortitel, Promotion	Unidad 1
la maestría	Master (akademischer Grad)	Unidad 1
la especialidad	Spezialgebiet	Unidad 1
la revista	Zeitschrift	Unidad 1
el grupo	Gruppe	Unidad 1
la beca	Stipendium	Unidad 1
la movilidad	Mobilität; Beweglichkeit	Unidad 1
el continente	Kontinent	Unidad 1
la red	Netz(werk)	Unidad 1
el museo	Museum	Unidad 1
la facultad	Fakultät	Unidad 1
el/la docente	Dozent/in	Unidad 1
la actividad de deporte	Sportaktivität	Unidad 1
el/la estudiante	Student/in, Schüler/in	Unidad 1
las prácticas	Praktikum	Unidad 1
la empresa	Unternehmen, Firma	Unidad 1
los estudios	Studium	Unidad 1
el lugar	Ort, Platz, Stelle	Unidad 1
extraacadémico/-a	außerakademisch	Unidad 1
el/la	der/die/das (bestimmter Artikel)	Unidad 1
un/una	ein/eine (unbestimmter Artikel)	Unidad 1
unos/unas	einige	Unidad 1
el ojo	Auge; hier: Achtung	Unidad 1
la cifra	Ziffer, Zahl	Unidad 1
tiene … años	sie ist … Jahre alt	Unidad 1
tener	haben	Unidad 1
el año	Jahr	Unidad 1
aproximadamente	etwa, ungefähr	Unidad 1
el Caribe	Karibik	Unidad 1
actualmente	zurzeit	Unidad 1
tenemos	wir haben	Unidad 1
más de	mehr als	Unidad 1
otros/-as	andere	Unidad 1
tienen	sie haben	Unidad 1
el posgrado	Aufbaustudium	Unidad 1
yo	ich	Unidad 1
él/ella	er/sie	Unidad 1
nosotros/nosotras	wir	Unidad 1
vosotros/vosotras	ihr	Unidad 1
ellos/ellas	sie (Plural)	Unidad 1
ustedes	Sie (Plural)	Unidad 1
el tándem	(Sprach-)Tandem; Tandempartner/in	Unidad 1
mi	mein/e	Unidad 1
el número de teléfono	Telefonnummer	Unidad 1
el/la hispanohablante	Spanischsprecher/in	Unidad 1
no	nein; kein/e	Unidad 1
sí	ja; doch, schon	Unidad 1
la tarea final	Abschlussaufgabe	Unidad 1
el primer día	der erste Tag	Unidad 1
el contacto	Kontakt	Unidad 1
estos/-as son	das sind	Unidad 1
ser	sein	Unidad 1
sois	ihr seid	Unidad 1
también	auch	Unidad 1
pero	aber	Unidad 1
hoy	heute	Unidad 1
la clase de inglés	Englischunterricht	Unidad 1
el inglés	Englisch	Unidad 1
aquí	hier	Unidad 1
¿Es usted la señora Ríos?	Sind Sie Frau Ríos?	Unidad 1
el/la señor/a	Herr/Frau	Unidad 1
soy yo	das bin ich	Unidad 1
el/la estudiante en prácticas	Praktikant/in	Unidad 1
claro	klar, natürlich	Unidad 1
bienvenido/-a	willkommen	Unidad 1
¿Cómo estás?	Wie geht es dir?	Unidad 1
¿De dónde…?	Woher …?	Unidad 1
eres	du bist	Unidad 1
este/-a es	das ist	Unidad 1
el/la bibliotecario/-a	Bibliothekar/in	Unidad 1
encantado/-a	sehr erfreut	Unidad 1
Perú	Peru	Unidad 1
el/la catedrático/-a	(Hochschul-)Professor/in	Unidad 1
del	vom, aus dem	Unidad 1
el departamento	Abteilung, Fachbereich	Unidad 1
mucho gusto	angenehm	Unidad 1
muy	sehr	Unidad 1
el/la profesor/a invitado/-a	Gastdozent/in	Unidad 1
este/-a	diese/r/s	Unidad 1
el semestre	Semester	Unidad 1
el/la rector/a	Rektor/in	Unidad 1
el/la trabajador/a	Mitarbeiter/in	Unidad 1
el/la becario/-a	Stipendiat/in	Unidad 1
el/la informático/-a	Informatiker/in	Unidad 1
el/la representante de alumnos	Studentenvertreter/in	Unidad 1
el/la alumno/-a	Schüler/in, Student/in	Unidad 1
el/la auxiliar médico/-a	medizinische Hilfskraft, Arzthelfer/in	Unidad 1
el/la administrativo/-a	Verwaltungsangestellte/r, Sachbearbeiter/in	Unidad 1
el/la camarero/-a	Kellner/in	Unidad 1
el/la asistente social	Sozialarbeiter/in	Unidad 1
la profesión	Beruf	Unidad 1
presentarse	sich vorstellen	Unidad 1
los datos personales	Angaben zur Person	Unidad 1
personal	persönlich	Unidad 1
la cuenta	Konto	Unidad 1
la red social	soziales Netz(werk)	Unidad 1
la edad	Alter	Unidad 1
la dirección	Adresse	Unidad 1
el lugar de origen	Herkunftsort	Unidad 1
el correo electrónico	E-Mail(-Adresse)	Unidad 1
de apellido	mit Nachnamen	Unidad 1
¿Qué haces?	Was machst du (beruflich)?	Unidad 1
hacer	machen	Unidad 1
¿Qué estudias?	Was studierst du?	Unidad 1
estudiar	studieren; lernen	Unidad 1
estudio	ich studiere	Unidad 1
¿Cuántos años tienes?	Wie alt bist du?	Unidad 1
¿Cuántos/-as?	Wie viele?	Unidad 1
¿Cuál es tu…?	Wie lautet dein/e …?	Unidad 1
cuál/es	welche/r/s, was für ein/e	Unidad 1
la calle	Straße	Unidad 1
la arroba (@)	At-Zeichen, Klammeraffe	Unidad 1
el punto (.)	Punkt	Unidad 1
el guion (-)	Bindestrich	Unidad 1
el guion bajo (_)	Unterstrich	Unidad 1
la ficha	Karteikarte; hier: Steckbrief	Unidad 1
el idioma	Sprache	Unidad 1
la afición	Neigung, Hobby	Unidad 1
Italia	Italien	Unidad 1
vivo	ich wohne	Unidad 1
vivir	wohnen, leben	Unidad 1
el/la chico/-a	junge/r Mann/Frau	Unidad 1
Rusia	Russland	Unidad 1
Brasil	Brasilien	Unidad 1
hablo	ich spreche	Unidad 1
hablar	sprechen	Unidad 1
el francés	Französisch	Unidad 1
ahora	jetzt	Unidad 1
aprendo	ich lerne	Unidad 1
aprender	lernen	Unidad 1
Latinoamérica	Lateinamerika	Unidad 1
busco	ich suche	Unidad 1
buscar	suchen	Unidad 1
para	um … zu	Unidad 1
practicar	üben	Unidad 1
cocinar	kochen	Unidad 1
la pasión	Leidenschaft	Unidad 1
cocinas	du kochst	Unidad 1
¿Qué tal si…?	Wie wäre es, wenn …?	Unidad 1
cocinamos	wir kochen	Unidad 1
juntos/-as	zusammen, gemeinsam	Unidad 1
hablamos	wir sprechen	Unidad 1
el nivel	Niveau, Stufe	Unidad 1
necesito	ich muss, ich brauche	Unidad 1
necesitar	brauchen, müssen	Unidad 1
porque	weil	Unidad 1
importante	wichtig	Unidad 1
el alemán	Deutsch	Unidad 1
el ruso	Russisch	Unidad 1
escribir	schreiben	Unidad 1
escribo	ich schreibe	Unidad 1
el artículo	Artikel	Unidad 1
el blog	Blog	Unidad 1
el/la hablante de español	Spanischsprecher/in	Unidad 1
tomar	trinken, essen	Unidad 1
algo	etwas	Unidad 1
la familia	Familie	Unidad 1
Turquía	Türkei	Unidad 1
vivimos	wir wohnen	Unidad 1
Berlín	Berlin	Unidad 1
como	als	Unidad 1
la asignatura optativa	Wahl(pflicht)fach	Unidad 1
comprendo	ich verstehe	Unidad 1
comprender	verstehen	Unidad 1
difícil	schwierig	Unidad 1
bailar	tanzen	Unidad 1
tocar	spielen (Instrument); anfassen	Unidad 1
la guitarra	Gitarre	Unidad 1
bailas	du tanzt	Unidad 1
la salsa	Salsa	Unidad 1
el tango	Tango	Unidad 1
tocas	du spielst	Unidad 1
el instrumento	Instrument	Unidad 1
entonces	dann	Unidad 1
tener algo en común	etwas gemeinsam haben	Unidad 1
Grecia	Griechenland	Unidad 1
trabajo	ich arbeite	Unidad 1
trabajar	arbeiten	Unidad 1
el turismo	Tourismus	Unidad 1
participar (en)	teilnehmen (an)	Unidad 1
el congreso	Kongress	Unidad 1
internacional	international	Unidad 1
mis	meine	Unidad 1
el/la colega	Kollege/-in	Unidad 1
la conversación	Konversation	Unidad 1
viajar	reisen	Unidad 1
el teatro	Theater	Unidad 1
leer	lesen	Unidad 1
leo	ich lese	Unidad 1
mucho	viel	Unidad 1
¿Dónde?	Wo?	Unidad 1
¿Quién?	Wer? (Singular)	Unidad 1
¿Quiénes?	Wer? (Plural)	Unidad 1
¿Por qué?	Warum?	Unidad 1
¿Para qué?	Wozu?	Unidad 1
el motivo	Grund, Beweggrund	Unidad 1
solicitar	beantragen, sich bewerben um	Unidad 1
por amor	aus Liebe	Unidad 1
por	pro; durch; für; wegen	Unidad 1
el amor	Liebe	Unidad 1
beber	trinken	Unidad 1
el café	Kaffee	Unidad 1
el chili con carne	Chili con carne	Unidad 1
la carne	Fleisch	Unidad 1
el libro	Buch	Unidad 1
usar	benutzen, verwenden	Unidad 1
la palabra	Wort	Unidad 1
gratis	kostenlos, umsonst	Unidad 1
escuchar	(zu)hören	Unidad 1
el mate	Mate(-Tee)	Unidad 1
tampoco	auch nicht	Unidad 1
la comunicación	Kommunikation	Unidad 1
la práctica	Übung	Unidad 1
la gramática	Grammatik	Unidad 1
el capítulo	Kapitel	Unidad 1
el encuentro	Begegnung	Unidad 1
el/la desconocido/-a	Unbekannte/r	Unidad 1
la estación	Station, Bahnhof	Unidad 1
verdadero/-a	richtig, wahr	Unidad 1
falso/-a	falsch	Unidad 1
la presentación	Präsentation, Vorstellung	Unidad 1
la nacionalidad	Nationalität	Unidad 1
la estrategia	Strategie	Unidad 1
Esta es mi gente.	Das sind meine Freunde und Familie.	Unidad 2
la gente	Leute	Unidad 2
la uni	Uni (umg.)	Unidad 2
el tiempo	Zeit	Unidad 2
la comida	Essen	Unidad 2
feliz	glücklich	Unidad 2
el fin de semana	Wochenende	Unidad 2
el/la amigo/-a de toda la vida	alte/r Freund/in	Unidad 2
otra vez	nochmals	Unidad 2
el/la mejor amigo/-a	bester Freund / beste Freundin	Unidad 2
mejor	besser; beste/r/s	Unidad 2
¡Qué…!	Wie …!	Unidad 2
guapo/-a	hübsch, gut aussehend	Unidad 2
tus	deine	Unidad 2
los hermanos	Geschwister; Brüder	Unidad 2
el/la hermano/-a	Bruder / Schwester	Unidad 2
el buen rollo	gute Stimmung (umg.)	Unidad 2
el/la compañero/-a de clase	Klassenkamerad/in	Unidad 2
la pareja	Partner/in	Unidad 2
la foto(grafía)	Foto(grafie)	Unidad 2
creo que	ich glaube, …	Unidad 2
creer	glauben	Unidad 2
por ciento	Prozent	Unidad 2
entre	zwischen	Unidad 2
su	sein/e, ihr/e, Ihr/e	Unidad 2
el padre	Vater	Unidad 2
la madre	Mutter	Unidad 2
los hijos	(eigene) Kinder; Söhne	Unidad 2
el/la hijo/-a	Sohn / Tochter; Kind	Unidad 2
solo/-a	allein	Unidad 2
el/la compañero/-a de trabajo	Arbeitskollege/-in	Unidad 2
el trabajo	Arbeit	Unidad 2
el/la compañero/-a de estudios	Studienkollege/-in	Unidad 2
los abuelos	Großeltern	Unidad 2
el/la abuelo/-a	Großvater/-mutter	Unidad 2
los tíos	Onkel und Tante	Unidad 2
el/la tío/-a	Onkel / Tante	Unidad 2
los padres	Eltern	Unidad 2
el/la compañero/-a de piso	Mitbewohner/in	Unidad 2
el piso	Wohnung	Unidad 2
Estambul	Istanbul	Unidad 2
nuestro/-a	unser/e	Unidad 2
vuestro/-a	euer/e	Unidad 2
sus	seine, ihre, Ihre	Unidad 2
el/la hijo/-a único/-a	Einzelkind	Unidad 2
tener contacto (con)	Kontakt haben (zu)	Unidad 2
la escuela	Schule	Unidad 2
hablar de	sprechen über	Unidad 2
el problema	Problem	Unidad 2
la residencia	(Studenten-)Wohnheim	Unidad 2
siempre	immer	Unidad 2
el/la primo/-a	Cousin/e	Unidad 2
la situación	Situation, Lage	Unidad 2
cerca (de)	in der Nähe (von)	Unidad 2
ayudar	helfen	Unidad 2
el futuro	Zukunft	Unidad 2
todo/-a	ganz	Unidad 2
independiente	unabhängig	Unidad 2
pasar	verbringen	Unidad 2
el estado civil	Familienstand	Unidad 2
¿Con quién?	Mit wem?	Unidad 2
el aspecto	Aspekt; Aussehen	Unidad 2
estar	sein (Zustand/Ort)	Unidad 2
soltero/-a	ledig	Unidad 2
casado/-a	verheiratet	Unidad 2
separado/-a	getrennt	Unidad 2
divorciado/-a	geschieden	Unidad 2
recuerda	denke daran	Unidad 2
nuevo/-a	neu	Unidad 2
nos	uns	Unidad 2
presentar	vorstellen	Unidad 2
el premio	Preis, Auszeichnung	Unidad 2
ti	dich, dir	Unidad 2
bajo/-a	klein	Unidad 2
delgado/-a	schlank	Unidad 2
tener el pelo moreno	dunkle Haare haben	Unidad 2
moreno/-a	dunkel(haarig)	Unidad 2
corto/-a	kurz	Unidad 2
llevar	tragen	Unidad 2
la barba	(Voll-)Bart	Unidad 2
simpático/-a	sympathisch	Unidad 2
alegre	fröhlich	Unidad 2
optimista	optimistisch	Unidad 2
demasiado	zu (sehr)	Unidad 2
responsable	verantwortungsbewusst	Unidad 2
el hermano mayor	großer / älterer Bruder	Unidad 2
el cómic	Comic	Unidad 2
la música electrónica	elektronische Musik	Unidad 2
solo	nur	Unidad 2
el defecto	Fehler; Defekt	Unidad 2
compartir piso	in einer WG leben	Unidad 2
compartir	teilen	Unidad 2
no… nada	überhaupt nicht	Unidad 2
ni	nicht einmal	Unidad 2
el sándwich	Sandwich, belegtes Brot	Unidad 2
alto/-a	groß	Unidad 2
rubio/-a	blond	Unidad 2
largo/-a	lang	Unidad 2
normalmente	normalerweise	Unidad 2
las gafas	Brille	Unidad 2
la lentilla	(Kontakt-)Linse	Unidad 2
normal	normal	Unidad 2
divertido/-a	lustig	Unidad 2
trabajador/a	fleißig	Unidad 2
bastante	ziemlich	Unidad 2
constante	ausdauernd, beständig	Unidad 2
los apuntes	Mitschrift	Unidad 2
perfecto/-a	perfekt	Unidad 2
organizado/-a	ordentlich, strukturiert	Unidad 2
el carácter	Charakter	Unidad 2
gordo/-a	dick	Unidad 2
joven	jung	Unidad 2
los/las dos	beide	Unidad 2
un poco	ein wenig, ein bisschen	Unidad 2
me encanta	es gefällt mir sehr	Unidad 2
encantar	begeistern	Unidad 2
me gusta	mir gefällt, ich mag	Unidad 2
gustar	gefallen	Unidad 2
me aburre	mich langweilt	Unidad 2
aburrir	langweilen	Unidad 2
público/-a	öffentlich	Unidad 2
el/la participante	Teilnehmer/in	Unidad 2
interesar	interessieren	Unidad 2
la explicación	Erklärung	Unidad 2
en detalle	im Detail	Unidad 2
una vez a la semana	einmal in der Woche	Unidad 2
la vez	Mal	Unidad 2
visitar	besuchen, besichtigen	Unidad 2
el/la especialista	Spezialist/in	Unidad 2
el/la artista	Künstler/in	Unidad 2
